Medicine Name ,Category ,price,Stock,Expiry Date ,Unit 
KATINKO 30ML BIG,Topical/Analgesic,55.00,37,2028-06-09,Unit
KATINKO OINTMENT,Topical/Analgesic,85.00,39,2029-08-03,Cream/Ointment
KATINKO ROLL 10ML,Topical/Analgesic,60.00,17,2029-10-02,Unit
KETOANALOGUES,Renal/Supplement,70.00,53,2029-03-06,Unit
KETOCONAZOLE CREAM 10G,Antifungal,60.00,53,2028-01-11,Cream/Ointment
KETOCONAZOLE CREAM 15G,Antifungal,30.00,40,2028-04-10,Cream/Ointment
KOJIE SAN 3IN1,Personal Care/Hygiene,230.00,66,2029-03-06,Unit
KOOL FEVER,First Aid/Medical Supply,35.00,40,2029-10-02,Unit
KOYO,Topical/Analgesic,30.00,40,2028-06-09,Unit
KREMIL S ADVANCE TABLET,Antacid/GI,40.00,10,2028-07-09,Tablet
KREMIL S TABLET,Antacid/GI,70.00,12,2029-02-04,Tablet
KWELL SHAMPOO,Personal Care/Hygiene/Antiparasitic,170.00,29,2029-03-06,Personal Care
LACTACYD BABY BODY&WASH 60ML,Personal Care/Hygiene,230.00,47,2029-04-05,Personal Care
LACTACYD FEMININE WASH PEARL IN,Personal Care/Hygiene,180.00,63,2029-03-06,Personal Care
LACTULOSE SYR 120ML,Laxative/GI,60.00,20,2029-02-04,Syrup
LACTUM 0-6MONTHS 150GRAMS,Nutritional/Milk,250.00,29,2027-09-13,Unit
LACTUM 0-6MONTHS 350GRAMS,Nutritional/Milk,357.00,37,2028-05-10,Unit
LACTUM 1-3YRS 350GRAMS,Nutritional/Milk,345.00,60,2027-07-15,Unit
LACTUM 3+ 350 GRAMS,Nutritional/Milk,170.00,55,2027-12-12,Unit
LACTUM 6-12MONTHS 150GRAMS,Nutritional/Milk,189.00,55,2028-02-10,Unit
LACTUM 6-12MONTHS 350GRAMS,Nutritional/Milk,167.00,5,2027-10-13,Unit
LADY PILLS,Contraceptive/Hormonal,450.00,58,2029-06-04,Pill
LAGUNDI FORTE 300MG TABLET,Herbal/Respiratory,55.00,47,2029-03-06,Tablet
LAGUNDI FORTE 600MG TABLET,Herbal/Respiratory,75.00,33,2029-05-05,Tablet
LAGUNDI SYR 120ML,Herbal/Respiratory,50.00,26,2029-05-05,Syrup
LAGUNDI SYR 60ML,Herbal/Respiratory,70.00,29,2029-02-04,Syrup
LEVOCETIRIZINE TABLET,Antihistamine,40.00,141,2028-06-09,Tablet
LEVOFLOXACIN 500MG TABLET,Antibiotic,95.00,20,2029-06-04,Tablet
LEVOTHYROXINE 50MCG,Thyroid,30.00,59,2029-12-01,Unit
LEWIS&PEARL POWDER PINK 50G,Personal Care/Hygiene,110.00,50,2029-03-06,Powder
LEWIS&PEARL VIOLET 50G,Personal Care/Hygiene,180.00,58,2028-12-06,Unit
LICEALIZ SHAMPOO,Personal Care/Hygiene/Antiparasitic,180.00,29,2029-03-06,Personal Care
LOLA REMEDIOS,Herbal/Supplement,150.00,13,2029-04-05,Unit
LOPERAMIDE,Antidiarrheal/GI,40.00,26,2028-03-11,Unit
LORATADINE TABLET,Antihistamine,40.00,33,2028-03-11,Tablet
LOSARTAN 100MG,Cardiovascular,100.00,34,2027-12-12,Unit
LOSARTAN 50MG,Cardiovascular,130.00,31,2029-08-03,Unit
LOSARTAN 50MG+HCTZ,Cardiovascular,170.00,9,2029-03-06,Unit
LUBRICANT JELLY 5G,Medical Supply,280.00,21,2030-03-01,Unit
MALUNGAY CAPSULE,Herbal/Supplement,100.00,30,2028-02-10,Capsule
MANZANILLA 25ML,Topical/Skin,160.00,59,2030-03-01,Unit
MANZANILLA 50ML,Topical/Skin,160.00,29,2029-04-05,Unit
MASK KN95,Personal Care/Hygiene,160.00,72,2029-05-05,Consumer
MASTER CLEANSER 70ML,Personal Care/Hygiene,20.00,18,2028-07-09,Unit
MAXI PEEL #2 60ML,Topical/Skin,120.00,23,2029-01-05,Unit
MAXI PEEL #3 60ML,Topical/Skin,140.00,32,2028-09-07,Unit
MEASURING CUP,Medical Supply,270.00,50,2028-12-06,Unit
MEBENDAZOLE TABLET,Antiparasitic,30.00,49,2028-09-07,Tablet
MEDICOL 200MG,Pain Relief/Anti-inflammatory,110.00,7,2028-10-07,Unit
MEDICOL ADVANCE 400MG,Pain Relief/Anti-inflammatory,95.00,23,2028-11-06,Unit
MEFENAMIC 500MG CAPSULE,Pain Relief/Anti-inflammatory,50.00,48,2028-07-09,Capsule
MEFENAMIC SYRUP,Pain Relief/Anti-inflammatory,65.00,102,2029-09-02,Syrup
MEFENAMIC TABLET 500MG,Pain Relief/Anti-inflammatory,95.00,51,2028-05-10,Tablet
MELATONIN CAPSULE 500MG,Sleep Aid/Supplement,20.00,60,2028-12-06,Capsule
MELOXICAM 15MG TABLET,Pain Relief/Anti-inflammatory,75.00,20,2029-03-06,Tablet
METFORMIN 500MG TABLET,Antidiabetic,230.00,14,2028-07-09,Tablet
METHYLDOPA 250MG,Cardiovascular,85.00,21,2029-02-04,Unit
METOCLOPRAMIDE SYRUP,Antacid/GI,20.00,5,2029-02-04,Syrup
METOCLOPRAMIDE TABLET,Antacid/GI,65.00,48,2029-05-05,Tablet
METOPROLOL 100MG,Cardiovascular,35.00,33,2028-11-06,Unit
METOPROLOL 50MG,Cardiovascular,180.00,24,2029-08-03,Unit
METRONIDAZOLE 125MG SYR,Antibiotic/Antiparasitic,55.00,49,2028-08-08,Syrup
METRONIDAZOLE TABLET,Antibiotic/Antiparasitic,30.00,24,2028-06-09,Tablet
MICROPILL,Contraceptive/Hormonal,550.00,59,2029-03-06,Pill
MIGHTY BOND,Medical Supply,45.00,29,2031-05-25,Unit
MILCU POW 40G,Personal Care/Hygiene,95.00,47,2028-09-07,Powder
MODESS NON-WINGS,Personal Care/Hygiene,17.20,60,2028-08-08,Consumer
MODESS WITH WINGS,Personal Care/Hygiene,13.90,16,2029-03-06,Consumer
MONTE+LEVOCETIRIZINE TABLET,Respiratory/Allergy,80.00,145,2028-09-07,Tablet
MONTELUKAST 10MG TABLET,Respiratory/Allergy,80.00,19,2029-07-04,Tablet
MONTELUKAST 5MG,Respiratory/Allergy,80.00,19,2029-08-03,Unit
MOSQUITO PATCH,Personal Care/Hygiene,55.00,42,2028-04-10,Patch/Plaster
MUCOTUSS FORTE,Respiratory/Mucolytic,50.00,45,2028-01-11,Unit
MULTIVITAMIN +IRON CAPSULE,Vitamins/Supplements,110.00,33,2028-06-09,Capsule
MULTIVITAMIN+IRON SYR 120ML,Vitamins/Supplements,210.00,51,2028-08-08,Syrup
MULTIVTMIN SYR 60ML,Vitamins/Supplements,40.00,23,2028-11-06,Syrup
MUPIROCIN OINTMENT,Antibiotic/Topical,150.00,16,2028-06-09,Cream/Ointment
MX3 CAPSULE,Herbal/Supplement,35.00,39,2028-11-06,Capsule
MX3 COFFE,Herbal/Supplement,85.00,22,2028-05-10,Unit
PONSTANT TABLET,Pain Relief/Anti-inflammatory,35.00,57,2029-03-06,Tablet
PORTABLE MESH NEBUIIZER,Medical Device,"1,761.00",5,2033-04-14,Tablet
POTASSIUM CITRATE,Urology/Supplement,55.00,56,2028-03-11,Unit
POVIDONE IODINE 15ML,Antiseptic,65.00,9,2028-04-10,Unit
POVIDONE IODINE 30ML,Antiseptic,95.00,19,2029-09-02,Unit
POVIDONE IODINE 60ML,Antiseptic,90.00,30,2029-05-05,Unit
PPA DROP,Cold/Flu/Decongestant,25.00,55,2028-12-06,Drops
PPA SYR 60ML,Cold/Flu/Decongestant,8.70,39,2028-03-11,Syrup
PREDNISONE 10MG SYRUP,Anti-inflammatory/Steroid,45.00,48,2029-11-01,Syrup
PREDNISONE 10MG TABLET,Anti-inflammatory/Steroid,65.00,42,2028-12-06,Tablet
PREDNISONE 20MG TABLET,Anti-inflammatory/Steroid,75.00,28,2028-03-11,Tablet
PREDNISONE 5MG TABLET,Anti-inflammatory/Steroid,65.00,35,2027-12-12,Tablet
PREGABALIN 75MG,Neurological/Pain,140.00,40,2028-10-07,Unit
PROFAN TLC 120ML,Personal Care/Hygiene,230.00,38,2028-02-10,Unit
PROPANOLOL 10MG,Cardiovascular,120.00,34,2029-10-02,Unit
PROPANOLOL 40MG,Cardiovascular,60.00,31,2028-03-11,Unit
PRYCE,Medical Supply,60.00,7,2029-12-31,Unit
PT KIT,Diagnostic,350.00,12,2027-07-15,Unit
PULSE OXIMETER,Medical Device,379.00,3,2031-05-25,Device
QUADMAX,Vitamins/Supplements,160.00,47,2029-05-05,Unit
RANITIDINE 150MG TABLET,Antacid/GI,50.00,39,2029-01-05,Tablet
RDL 2 60ML,Topical/Skin,110.00,51,2028-10-07,Unit
RDL 3 60ML,Topical/Skin,160.00,46,2028-09-07,Unit
RDL NIGHT CREAM,Topical/Skin,150.00,44,2029-07-04,Cream/Ointment
RDL SUNBLOCK,Topical/Skin,170.00,22,2028-07-09,Unit
RDL TONER,Topical/Skin,130.00,18,2029-08-03,Unit
RESTIME-SIMETICONE CHEWABLE,Antacid/GI,35.00,20,2028-11-06,Unit
REVICON SACHET,Vitamins/Supplements,40.00,48,2028-11-06,Sachet
REXIDOL TBLET,Pain Relief/Analgesic,45.00,46,2028-11-06,Unit
REXONA ROLL ON QUANTUM 45ML,Personal Care/Hygiene,25.00,45,2028-06-09,Unit
REXONA SACHET,Personal Care/Hygiene,240.00,68,2028-02-10,Sachet
RIPAMPICIN 450MG CAPSULE,Antibiotic/Anti-TB,40.00,46,2027-12-12,Capsule
ROBITUSSIN DM SYR 120ML,Respiratory/Cough,13.50,26,2028-07-09,Syrup
ROBITUSSIN DM SYR 60ML,Respiratory/Cough,80.00,55,2029-06-04,Syrup
ROBITUSSIN GEL CAPSULE,Respiratory/Cough,25.00,58,2029-05-05,Capsule
ROBUST EXTREME,Vitamins/Supplements,80.00,18,2028-09-07,Unit
ROBUST REGULAR,Vitamins/Supplements,120.00,14,2029-06-04,Unit
ROSUVASTATIN 10MG TABLET,Cardiovascular/Lipid,80.00,5,2028-08-08,Tablet
ROSUVASTATIN 20MG TABLET,Cardiovascular/Lipid,80.00,14,2028-04-10,Tablet
SAFEGUARD 55G SACHET,Personal Care/Hygiene,140.00,32,2028-03-11,Sachet
SAFEGUARD BOX,Personal Care/Hygiene,170.00,13,2028-04-10,Unit
SALBU+ IPRANEBULE,Respiratory/Bronchodilator,16.70,55,2028-07-09,Nebule
SALBU+GUAI CAPSULE,Respiratory/Bronchodilator,85.00,6,2028-05-10,Capsule
SALBUSOL INHALER,Respiratory/Bronchodilator,203.00,13,2029-11-01,Inhaler
SALBUTAMOL 2MG TABLET,Respiratory/Bronchodilator,65.00,44,2029-11-01,Tablet
SALBUTAMOL 4MG TABLET,Respiratory/Bronchodilator,20.00,87,2029-12-01,Tablet
SALBUTAMOL INHALER,Respiratory/Bronchodilator,222.00,105,2028-03-11,Inhaler
SALBUTAMOL NEBULE,Respiratory/Bronchodilator,65.00,58,2029-07-04,Nebule
SALBUTAMOL SYRUP,Respiratory/Bronchodilator,20.00,130,2029-09-02,Syrup
SALBUTAMOL+GUAI SYRUP,Respiratory/Bronchodilator,75.00,88,2029-08-03,Syrup
SALICYLIC ACID 25ML,Topical/Skin,170.00,8,2029-09-02,Unit
SALINASE DROPS,ENT/Nasal,130.00,32,2029-09-02,Drops
SALINASE SPRAY,ENT/Nasal,55.00,50,2029-02-04,Spray
SALONPAS,Topical/Analgesic,25.00,10,2029-04-05,Unit
SAMBONG CAP 500MG,Herbal/Urology,45.00,9,2028-04-10,Capsule
SANGOBION TABLET,Vitamins/Supplements,100.00,45,2029-03-06,Tablet
SARIDON TABLET,Pain Relief/Analgesic,45.00,25,2028-12-06,Tablet
SHOE GLUE,Medical Supply,350.00,38,2029-12-01,Unit
SILDENAFIL 100MG,Urology/Cardiovascular,150.00,43,2029-01-05,Unit
SILVER SULFA CREAM 30G,Topical/Antibiotic,55.00,49,2028-07-09,Cream/Ointment
SILYMARIN CAPSULE,Hepatoprotective,95.00,46,2029-12-01,Capsule
SIMVASTATIN 10MG,Cardiovascular/Lipid,55.00,60,2028-06-09,Unit
SIMVASTATIN 20MG,Cardiovascular/Lipid,45.00,19,2029-01-05,Unit
SIMVASTATIN 40MG,Cardiovascular/Lipid,35.00,34,2028-12-06,Unit
SINECOD FORTE,Respiratory/Cough,40.00,11,2028-10-07,Unit
SISTER 8+1,Personal Care/Hygiene,110.00,42,2028-11-06,Unit
SISTER OVERNIGHT 4+1,Personal Care/Hygiene,240.00,70,2028-02-10,Unit
SISTER PANTY LINER BY 8,Personal Care/Hygiene,35.00,20,2028-02-10,Consumer
SITAGLIPTIN 100MG TABLET,Antidiabetic,110.00,52,2029-11-01,Tablet
SITAGLIPTIN+METFORMIN 100/1G,Antidiabetic,100.00,13,2029-05-05,Unit
SITAGLIPTIN+METFORMIN 50/1000,Antidiabetic,25.00,40,2029-05-05,Unit
SKELAN FORTE TABLET,Musculoskeletal,40.00,12,2029-01-05,Tablet
SKIN FIGHTER CREAM 15G,Topical/Skin,75.00,47,2030-05-30,Cream/Ointment
SOLMUX SYRUP,Respiratory/Mucolytic,35.00,51,2028-01-11,Syrup
SPECIMEN BOTTLE WI SCOOP,Medical Supply,340.00,43,2029-12-31,Medical Supply
SPECIMEN CUP,Medical Supply,130.00,41,2031-01-25,Unit
SPIRONOLACTONE 25MG,Cardiovascular/Diuretic,20.00,47,2029-03-06,Unit
STREPSIL LOZENGES,Oral Care/Anti-infective,70.00,11,2028-11-06,Lozenges
STREPSILS MAXPRP SPRAY,Oral Care/Anti-infective,140.00,28,2028-03-11,Spray
STRESSTAB,Vitamins/Supplements,270.00,41,2028-09-07,Tablet
SURGICAL TAPE 1/2,First Aid/Medical Supply,150.00,13,2029-07-04,Medical Supply
SURGICAL TAPE 1INCH,First Aid/Medical Supply,170.00,44,2027-12-12,Medical Supply
SYMDEX 60ML SYRUP,Cold/Flu/Decongestant,17.40,49,2029-12-01,Syrup
SYMDEX D TABLET,Cold/Flu/Decongestant,25.00,26,2028-11-06,Tablet
SYMDEX DROPS,Cold/Flu/Decongestant,8.30,60,2028-04-10,Drops
SYMDEX FORTE TABLET,Cold/Flu/Decongestant,35.00,30,2028-02-10,Tablet
TAMSULOSIN 400MCG TABLET,Urology,45.00,45,2027-12-12,Tablet
TAWAS TEENS 50G,Personal Care/Hygiene,35.00,77,2028-06-09,Unit
TEGADERM 2X2,First Aid/Medical Supply,75.00,68,2028-10-07,Unit
TEGADERM 3M 4X4,First Aid/Medical Supply,40.00,49,2029-11-01,Unit
TELMISARTAN 40MG,Cardiovascular,65.00,41,2029-07-04,Unit
TELMISARTAN 80MG,Cardiovascular,25.00,8,2028-04-10,Unit
TELMISARTAN+HCTZ,Cardiovascular,35.00,44,2028-01-11,Unit
TEMPRA DROPS,Pain Relief/Analgesic,50.00,64,2029-02-04,Drops
TEMPRA SYRUP 250MG,Pain Relief/Analgesic,50.00,92,2029-07-04,Syrup
TEMPRA SYRUP120MG,Pain Relief/Analgesic,35.00,64,2028-06-09,Syrup
TEMPRA TABLET 500MG,Pain Relief/Analgesic,60.00,44,2028-11-06,Tablet
TENDER CARE LAVANDER 50G,Personal Care/Hygiene,110.00,46,2029-06-04,Unit
TENDER CARE SAKURA PINK,Personal Care/Hygiene,130.00,49,2028-01-11,Unit
TETRACYCLINE 500MG CAPSULE,Antibiotic,30.00,43,2028-01-11,Capsule
THERMOMETER,Medical Device,254.00,5,2030-06-29,Device
THOSEDAYS NON-WINGS,Personal Care/Hygiene,190.00,42,2028-09-07,Consumer
THOSEDAYS WWING,Personal Care/Hygiene,90.00,10,2029-03-06,Unit
TIKI TIKI 120ML,Vitamins/Supplements,260.00,16,2028-08-08,Unit
TIKI TIKI 60ML,Vitamins/Supplements,140.00,50,2028-09-07,Unit
TIKI TIKI DROP 30ML,Vitamins/Supplements,180.00,58,2029-04-05,Drops
TIKI TIKI DROPS 15ML,Vitamins/Supplements,280.00,9,2028-12-06,Drops
TISSUE,Personal Care/Hygiene,220.00,15,2029-01-05,Consumer
TOBRA EYE DROPS,Ophthalmic/Antibiotic,30.00,9,2028-10-07,Eye Drop
TOBRA+DEXA EYE DROP,Ophthalmic/Antibiotic,90.00,41,2028-12-06,Eye Drop
TOOTH BRUSH KIDS ORAL B MICKEY,Oral Care,95.00,31,2028-09-07,Unit
TOOTHACHE DROPS 7.5ML,Oral Care/Analgesic,25.00,6,2028-10-07,Drops
TRANEXAMIC 500MG CAPSULE,Hematologic,30.00,44,2029-02-04,Capsule
TRIANGULAR BANDAGE,First Aid/Medical Supply,150.00,56,2028-02-10,Medical Supply
TRIMETAZIDE 35MG,Cardiovascular,85.00,11,2028-07-09,Unit
TRIPPLE A BATTERY,Medical Supply,160.00,30,2031-02-24,Unit
TRUST CONDOM,Personal Care/Hygiene,30.00,49,2028-10-07,Consumer
TRUST PILLS,Contraceptive/Hormonal,260.00,54,2028-05-10,Pill
TUSERAN FORTE CAPSULE,Respiratory/Cough,15.30,45,2028-03-11,Capsule
TUSERAN NIGHT SYR 60ML,Respiratory/Cough,45.00,17,2028-11-06,Syrup
UMBILICAL CORD,Medical Supply,130.00,57,2029-03-06,Unit
UNDER PADS,Personal Care/Hygiene,70.00,28,2028-08-08,Unit
URINAL BOTTLE,Medical Supply,75.00,43,2029-03-06,Medical Supply
URINE BAG 2000ML,Medical Supply,270.00,46,2028-10-07,Medical Supply
VICKS 10G,Topical/Analgesic,35.00,54,2030-01-30,Unit
VICKS 25G,Topical/Analgesic,65.00,53,2029-12-01,Unit
VICKS 44 SYR 100ML,Respiratory/Cough,65.00,33,2029-06-04,Syrup
VICKS 5G,Topical/Analgesic,85.00,44,2029-04-05,Unit
VICKS BABY RUB 20G,Topical/Analgesic,110.00,45,2029-04-05,Unit
VICKS INHALER,Respiratory/Decongestant,180.00,9,2029-03-06,Inhaler
VICKS LOZENCES,Oral Care/Respiratory,60.00,24,2028-08-08,Unit
VICKS XTRA STRONG 10G,Topical/Analgesic,75.00,27,2029-10-02,Unit
VITA OB TABLET,Vitamins/Supplements,35.00,34,2029-01-05,Tablet
VITAMIN E GENERIC,Vitamins/Supplements,20.00,28,2028-10-07,Unit
VIVALYTE 250ML,Electrolyte/Supplement,30.00,60,2028-01-11,Unit
WET WIPES GREEN,Personal Care/Hygiene,160.00,74,2028-12-06,Consumer
WET WIPES SMALL,Personal Care/Hygiene,120.00,80,2028-01-11,Consumer
WHITE FLOWER 1.5ML,Topical/Analgesic,60.00,56,2029-12-01,Unit
WILKINS 7LITERS,Medical Supply,230.00,25,2030-11-26,Unit
XANTHONE PLUS GOLD CAPSULE,Herbal/Supplement,85.00,8,2029-02-04,Capsule
ZINC SYR,Vitamins/Supplements,45.00,58,2028-11-06,Syrup
